Group,Timing,DAU,Revenue,Transactions,PAU/DAU,PAU,ARPU,ARPPU
Case A,Previous,1161387.7857142857,54422.57142857143,15997.023685343855,0.007373381417478671,8560.142857142857,0.04710338879000732,6.400493938070105
Case A,Post,1188285.7666666666,55125.833333333336,15518.590705643817,0.0074082198140849155,8801.233333333334,0.04654498592215268,6.29320733254466
Case B,Previous,1141193.5,52658.28571428572,15473.678924723014,0.00727026856565565,8292.357142857143,0.04637424510533828,6.388515273255478
Case B,Post,1171115.0333333334,55444.066666666666,15175.730766668143,0.0073570266319993305,8613.466666666667,0.047498613385296845,6.465880949635535
Case C,Previous,1139410.0,52683.5,15352.820441114067,0.007226659832603978,8231.42857142857,0.04647682598259847,6.442354276427338
Case C,Post,1159503.8333333333,52851.86666666667,14397.704920910312,0.007115892565152305,8249.533333333333,0.04572820870396562,6.437121701880062
control,Previous,379394.78571428574,17463.285714285714,5122.402838501303,0.007228589988905907,2741.4285714285716,0.046260434362650794,6.410891685819489
control,Post,387447.6,17265.1,4864.771658886315,0.007156014408230951,2772.0333333333333,0.044706497005835434,6.257379473724774
